Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","132","Cabo Verde","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","11203.22","A","Official figure",""
"TCL","Crops and livestock products","132","Cabo Verde","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","18515","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","880.94","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","1504","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","2060.18","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","2615","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","1011.21","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","1760","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","124","Canada","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","148484.18","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","459759","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","63545.76","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","139069","A","Official figure",""
"TCL","Crops and livestock products","140","Central African Republic","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","6067.3","A","Official figure",""
"TCL","Crops and livestock products","140","Central African Republic","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","5253","A","Official figure",""
"TCL","Crops and livestock products","140","Central African Republic","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","29.9","A","Official figure",""
"TCL","Crops and livestock products","140","Central African Republic","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","20","A","Official figure",""
"TCL","Crops and livestock products","148","Chad","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","2535.96","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","148","Chad","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","5243","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","152","Chile","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","153699.72","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","320124","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","143670.24","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","526099","A","Official figure",""
"TCL","Crops and livestock products","159","China","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","1757302.49","A","Official figure",""
"TCL","Crops and livestock products","159","China","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","5027424","A","Official figure",""
"TCL","Crops and livestock products","159","China","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","263982.93","A","Official figure",""
"TCL","Crops and livestock products","159","China","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","646026","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","215834.01","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","580713","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","36901.39","A","Official figure",""
